title,url,address,
오크밸리,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4a9a75d0-74f2-49a6-8e82-9f5854cbc626&con_type=32,강원특별자치도 원주시 지정면 오크밸리1길 66,
WE호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=46bcc2e6-17e1-409e-86be-e80e48b5f61c&con_type=32,제주특별자치도 서귀포시 1100로 453-95,
비스타 워커힐 서울,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=b89ee0ce-240a-4fcc-8015-829faee64a82&con_type=32,서울특별시 광진구 워커힐로 177,
메이필드호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aaa0550e-99d2-436a-ae64-50b0f382826d&con_type=32,서울특별시 강서구 방화대로21길 94,
경원재 앰배서더 인천,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=f0b666a4-b66e-47bc-9e89-810e0e54b057&con_type=32,인천광역시 연수구 테크노파크로 200,
힐리언스 선마을,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=98aa8220-0b4e-41bc-961d-d3025a33cecf&con_type=32,강원특별자치도 홍천군 종자산길 122,
팜카밀레,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aacc3e72-a74e-4f21-8b26-9e036b097ae9&big_category=A02&mid_category=A0203&big_area=34,충청남도 태안군 남면 우운길 56-19,
국립제천치유의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=99a4d226-302e-4023-b2ce-80a86b1b1788&big_category=A01&mid_category=A0101&big_area=33,충청북도 제천시 청풍면 학현소야로 590,
구이 안덕 건강힐링체험마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5b8fc4ae-cd51-4da3-bd92-116d5fa0c03a&big_category=A02&mid_category=A0203&big_area=37,전북특별자치도 완주군 구이면 장파길 72,
"더 스파 앳 파라다이스		",https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b8ff32a2-e341-414c-9be6-59e3fa1d0fef&big_category=A02&mid_category=A0203&big_area=2,인천광역시 중구 영종해안남로321번길 186,
순창 쉴랜드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=90f9ae4d-254c-456f-8410-0bad19d4d47d&big_category=A02&mid_category=A0203&big_area=37,전북특별자치도 순창군 인계면 인덕로 427-128,
설해원,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=f5196f7f-4f80-461e-8888-f3effd1bee93&con_type=32,강원특별자치도 양양군 손양면 공항로 230,
서울한방진흥센터,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=faf5b907-fb5e-4285-b316-b8264cb2bd14&con_type=14,서울특별시 동대문구 약령중앙로 26 (제기동),
리조트 스파밸리,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=12d557db-db3d-4c87-8778-8f2ef7ad4280&con_type=32,대구광역시 달성군 가창면 가창로 891,
전남권 환경성질환 예방관리센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0985d752-9f14-4618-afdc-082debc9db02&big_category=A02&mid_category=A0203&big_area=38,전라남도 보성군 웅치면 대산길 329-126,
테라피 스파 소베,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=125bb51c-baf7-459b-a808-90b4b7e1a47c&big_category=A02&mid_category=A0202&big_area=5,광주광역시 서구 상무연하로 33,
국립김천치유의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09bf19e6-2100-414a-83c3-581eed3cec87&big_category=A01&mid_category=A0101&big_area=35,경상북도 김천시 증산면 수도길 1237-89,
SPA 1899,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5657a8b8-6da7-4834-b08b-3abff86adbb7&big_category=A02&mid_category=A0202&big_area=1,서울특별시 강남구 영동대로 416 (대치동),
서귀포 치유의 숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=728d182d-9d26-479d-b975-9d6ffb3099c5&big_category=A01&mid_category=A0101&big_area=39,제주특별자치도 서귀포시 산록남로 2271,
