title,url,areaCode,sigunguCode,contentType
" 내 몸을 위한 맞춤형 한방 테라피, 순천만국가정원 & 순천만 습지",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=d70e0534-4eec-4383-828b-fa2bc3bbaa59&con_type=10600,38,11,10600
"진안 홍삼을 테마로 꾸민 체험식 스파, 진안 홍삼스파",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=2651185c-d50e-4c7f-86e9-40972478d031&con_type=10600,37,14,10600
나만의 아름다움을 찾는 여행 에덴힐스 뷰티&힐링파크,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=e85d18d4-9b8c-4090-8001-84aaeb58ff8d&con_type=10600,34,15,10600
"허브 향 그윽한 그곳에서의 힐링, 팜카밀레",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=c92a9dc1-2c91-4cbe-83bf-4652aa710927&con_type=10600,34,14,10600
포레스트 리솜 해브나인 스파,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=d9293627-76cc-4e30-bc7d-a26d61564961&con_type=10600,33,7,10600
깊은산속 옹달샘 아침편지 명상치유센터,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=37b9ce46-9f76-4d49-966b-291bdb35788f&con_type=10600,33,11,10600
면역력 높여주는 힐링 플레이스 오색그린야드호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a068e8ed-4b35-4de8-b81d-32cdac0c8c73&con_type=10600,32,7,10600
사람을 품고 기르며 쉬게 하는 산. 용평리조트 발왕산,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=044f7b77-efb4-4434-aa1d-f4fe0d11e2d6&con_type=10600,32,15,10600
"격조 높은 웰니스를 경험하다, 파크로쉬 리조트앤웰니스",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=02e3090c-f836-48e1-8f2e-f8d1bb2a0b36&con_type=10600,32,11,10600
"고요한 명상의 세계로 가는 문, 뮤지엄SAN 명상관",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=f442df77-6c97-4943-8081-dbc68bcc9b4e&con_type=10600,32,9,10600
"남녀노소 모두를 위한 도심 속 웰니스 명당, 아쿠아필드 고양",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=84128fcc-cc0d-4dee-be4f-74b81a131079&con_type=10600,31,2,10600
"싱그러운 허브나라, 허브아일랜드 허브힐링 센터",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=1874814c-308a-4faf-940c-d1029f95cbde&con_type=10600,31,29,10600
"웰니스 종합 힐링 시설, Resort 스파밸리",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=c12ee816-8207-4ba7-87e5-b7a4c93e4ea5&con_type=10600,4,3,10600
쪽빛 바다를 품은 스파랜드 센텀시티,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=421dd40d-d79d-4e41-a1b3-89cdd59bb2bb&con_type=10600,6,16,10600
"서울 도심 속 건강한 안식처, 비스타 워커힐 웰니스 클럽",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=eba57bff-4e70-4f90-bdc5-c2bfe216b06a&con_type=10600,1,6,10600
"맞춤형 메디컬 스파, 올리바인 스파",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=ce852e44-3ec1-4cb4-83b1-441a12b1e0f2&con_type=10600,1,23,10600
"개인 맞춤형 한방 피부관리, 여용국 한방 스파",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=b8049f42-dfc5-47b9-8316-ffc75e6cd8cd&con_type=10600,1,18,10600
"내 몸을 위로하는 시간, 티 테라피 ",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=8225ec99-a1b1-4c2b-831b-e9729d300079&con_type=10600,1,23,10600
"가족과 함께 떠나는 힐링숲, 국립대운산치유의숲",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=74c211e3-6f13-447a-ac94-14ee2269d95c&con_type=10600,7,5,10600
[웰니스관광-플러스플래너]<br>럭셔리 웰니스 투어,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=48d28177-2384-41c4-9154-d490080ccaf9&con_type=0,,,0
[웰니스관광-무빙트립]<br>‘흥’난다 남도! 배리어프리 투어,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fbe71733-6df2-4d4a-a277-6908df5fd70b&con_type=0,,,0
[웰니스관광-도도 인터내셔널]<br>서울&경기를 함께 즐기는 MZ 세대 힐링 투어 ,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=c203dbc8-5218-4f31-9d70-35774073a433&con_type=0,,,0
[웰니스관광-굿필투어] <br>한국의 세계문화 유산과 웰니스여행,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a26786cb-c644-4e1a-97a4-b69470f3523e&con_type=0,,,0
