MDAY전체TOT_RAW61,M일HAP_61,MVIT,Q8a06,Q8a07,Q9_5A7,Q8_1a5,Q8_1a6,cluster
230.0,5.0,1,0,1,0,1,0,1
36.24609677419355,31.0,2,0,0,1,0,0,0
562.76,5.0,2,0,0,0,0,0,1
94.88422666666668,15.0,1,0,0,0,0,0,1
1333.3333333333337,3.0,1,0,0,0,0,0,2
307.6666666666667,3.0,3,0,0,0,0,0,1
188.4000000000001,7.0,1,0,1,0,1,0,1
112.63333333333335,15.0,2,0,0,1,0,0,1
192.8017647058823,17.0,1,1,1,0,0,0,1
292.8466666666667,15.0,3,0,0,0,0,0,1
101.37000000000002,15.0,3,0,1,1,0,0,1
460.6665000000001,3.0,1,0,0,0,1,0,1
59.91428571428572,21.0,5,0,0,0,0,0,0
106.5,6.0,5,0,0,1,0,0,1
126.0,11.0,1,1,0,0,1,0,1
173.0048,10.0,2,1,1,0,1,1,1
223.91590909090908,11.0,4,0,0,0,0,0,1
1375.0,4.0,1,0,0,0,0,0,2
126.19458333333334,18.0,1,0,0,1,1,0,0
106.15272727272728,33.0,1,1,1,0,0,1,0
351.25,8.0,1,1,1,0,1,0,1
64.99781250000001,32.0,7,0,0,1,0,0,0
156.3857142857143,14.0,1,1,0,0,1,0,1
123.74285714285716,7.0,10,0,0,1,0,0,1
331.42857142857144,7.0,1,1,1,0,1,0,1
998.91375,8.0,4,0,0,0,1,0,2
324.384,5.0,1,0,1,0,1,0,1
251.2,6.0,2,1,1,0,0,1,1
326.56,6.0,5,0,0,0,0,0,1
346.6666666666667,15.0,1,0,1,0,1,0,1
325.0,8.0,1,0,0,0,0,0,1
451.4344,5.0,3,0,0,0,0,0,1
209.49800000000005,10.0,1,0,0,0,0,0,1
255.80000000000004,6.0,12,0,0,0,0,0,2
358.12000000000006,5.0,1,0,0,0,0,0,1
511.6000000000002,5.0,2,1,0,0,0,0,1
468.9666666666667,6.0,3,0,0,0,0,0,1
407.6812500000001,4.0,3,0,0,0,0,0,1
281.38,5.0,5,0,0,0,0,0,1
1534.8,5.0,5,0,0,0,0,0,2
181.94615384615383,13.0,2,0,1,0,0,0,1
730.0,3.0,5,0,0,0,0,0,2
58.8235294117647,34.0,5,0,0,1,0,0,0
374.73333333333335,6.0,4,0,0,0,0,0,1
174.75,8.0,1,0,0,0,0,0,1
401.5,4.0,3,1,0,0,0,0,1
949.0,4.0,5,0,0,0,0,0,2
198.0,10.0,1,1,1,0,1,0,1
226.875,8.0,1,1,1,0,1,1,1
269.2857142857143,7.0,1,1,1,0,1,0,1
480.0,3.0,1,0,0,0,0,0,1
277.5,6.0,1,1,1,0,1,0,1
260.7142857142857,7.0,1,1,1,0,1,0,1
32.56895652173913,35.0,1,0,0,1,1,0,0
800.0,4.0,5,0,0,0,1,0,2
438.0,4.0,4,0,0,0,0,0,1
60.410161290322584,31.0,1,0,0,1,0,0,0
285.7142857142857,7.0,1,1,1,0,1,0,1
36.54078048780488,35.0,1,0,0,1,0,0,0
281.6666666666667,6.0,1,1,1,0,0,1,1
186.55555555555551,6.0,2,0,0,1,1,0,1
64.20737142857143,21.0,2,0,0,1,0,0,0
262.85714285714283,7.0,1,1,1,0,0,1,1
503.7,4.0,4,0,0,0,0,0,1
62.91,10.0,2,0,1,1,0,0,1
249.69533333333337,6.0,1,0,0,0,0,0,1
347.85714285714283,7.0,1,1,1,0,0,0,1
1687.4999999999998,3.0,3,0,0,0,0,0,2
1575.0,4.0,1,0,1,0,1,0,2
346.6666666666667,15.0,1,1,0,1,1,0,1
411.875,8.0,1,1,1,0,0,0,1
187.27150000000003,6.0,1,0,0,0,0,0,1
272.5,8.0,2,1,1,1,0,0,1
224.7258,6.0,1,0,0,0,0,0,1
285.59428571428566,7.0,1,0,1,0,0,0,1
417.5,8.0,1,1,1,0,1,1,1
72.49219354838712,31.0,3,0,0,1,0,0,0
129.76190476190476,21.0,1,1,1,0,1,1,0
48.32812903225807,31.0,1,0,0,1,0,0,0
1687.4999999999998,3.0,2,0,1,0,1,0,2
337.6128,4.0,2,1,1,0,1,0,1
435.0,5.0,1,1,1,0,1,1,1
236.25,8.0,1,1,1,0,1,1,1
620.0,5.0,1,0,0,0,1,0,1
255.0,8.0,1,1,1,0,1,0,1
374.99999999999994,3.0,1,0,1,0,0,0,1
321.42857142857144,7.0,2,0,1,0,1,0,1
431.25,8.0,1,1,1,0,1,0,1
455.7142857142857,7.0,1,1,1,0,1,1,1
186.66666666666663,15.0,1,1,1,1,1,1,1
1687.4999999999998,3.0,5,0,0,0,0,0,2
1450.0,4.0,1,1,1,0,1,0,2
461.25,8.0,1,1,1,0,1,1,1
113.05084745762711,35.0,3,0,0,0,0,0,0
190.00114285714284,21.0,2,0,1,0,1,0,0
146.055,6.0,2,0,0,0,0,0,1
273.35314285714287,7.0,3,0,0,0,0,0,1
340.0,5.0,1,1,0,0,0,1,1
361.66,5.0,1,0,0,0,0,0,1
306.0200000000001,5.0,1,0,0,0,0,0,1
212.5,4.0,1,0,0,0,0,0,1
182.221,5.0,2,0,0,0,0,0,1
219.3548387096774,31.0,3,0,0,1,0,0,0
468.9666666666667,6.0,1,0,0,0,0,0,1
184.59849999999997,5.0,1,0,0,0,0,0,1
230.02,5.0,1,0,0,0,0,0,1
286.538,11.0,6,0,1,0,1,0,1
274.3033333333332,6.0,5,0,0,0,0,0,1
148.27586206896552,29.0,3,1,0,0,0,1,0
211.4,6.0,1,1,0,0,0,1,1
212.49818181818185,11.0,2,1,1,0,1,0,1
239.18399999999997,10.0,1,0,0,0,0,0,1
253.68000000000004,12.0,3,1,1,0,0,0,1
184.0992,15.0,2,1,0,0,1,0,1
291.6666666666667,12.0,2,0,0,1,0,0,1
295.3576,5.0,1,0,0,0,0,0,1
304.41600000000005,15.0,1,0,0,0,0,0,1
146.15384615384616,13.0,1,0,1,0,0,0,1
297.14285714285717,7.0,1,0,0,1,0,0,1
951.3,4.0,1,0,0,0,0,0,2
93.18857142857142,28.0,1,1,1,0,1,1,0
453.0,4.0,3,0,0,0,1,0,1
92.29925,16.0,1,0,0,1,0,0,1
364.8,5.0,1,1,0,0,1,1,1
138.448875,16.0,1,0,0,1,0,0,1
